incident_id,reporter_id,incident_type,location_name,latitude,longitude,description,severity,reported_at,resolved_at,status,assigned_officer
INC001,COM001,Accident,Buea - Molyko Roundabout,4.156,9.29,Two vehicles collided at the roundabout,High,2025-06-06 07:15:00,2025-06-06 08:30:00,Resolved,MGR001
INC002,COM003,Road Blockage,Douala - Akwa Street,4.049,9.704,Fallen tree blocking one lane,Medium,2025-06-06 07:20:00,2025-06-06 09:00:00,Resolved,MGR002
INC003,COM005,Vehicle Breakdown,Yaounde - Nlongkak Junction,3.874,11.517,Bus broken down in middle of road,Medium,2025-06-06 07:25:00,2025-06-06 08:45:00,Resolved,MGR003
INC004,COM007,Traffic Light Failure,Buea - Mile 17 Motor Park,4.148,9.282,Traffic lights not working,High,2025-06-06 07:30:00,2025-06-06 09:15:00,Resolved,MGR004
INC005,COM009,Pedestrian Incident,Douala - Bonaberi Bridge Exit,4.062,9.658,Pedestrian hit by motorcycle,Critical,2025-06-06 07:35:00,2025-06-06 10:00:00,Resolved,MGR005
INC006,COM011,Flooding,Yaounde - Melen Roundabout,3.87,11.49,Heavy rain causing flooding,High,2025-06-06 07:40:00,2025-06-06 11:30:00,Resolved,MGR006
INC007,COM013,Protest,Buea - University Gate,4.168,9.289,Student protest blocking road,Medium,2025-06-06 07:45:00,2025-06-06 09:45:00,Resolved,MGR007
INC008,COM015,Accident,Douala - Deido Junction,4.05,9.71,Motorcycle collision with car,Medium,2025-06-06 07:50:00,2025-06-06 09:50:00,Resolved,MGR008
INC009,USR001,Accident,Molyko Roundabout,4.1592,9.2365,Car collision at Molyko Roundabout,High,2025-06-06 07:30:00,,Open,MGR001
INC010,USR002,Road Blockage,Mile 17 Junction,4.1337,9.2893,Debris blocking Mile 17 Junction,Medium,2025-06-06 08:15:00,2025-06-06 09:45:00,Resolved,MGR002
INC011,USR003,Vehicle Breakdown,Bonaberi Bridge,4.0678,9.6723,Bus broken down on Bonaberi Bridge,High,2025-06-06 07:45:00,,In Progress,MGR003
INC012,USR004,Traffic Light Failure,Nlongkak Junction,3.8732,11.5021,Traffic lights out at Nlongkak,High,2025-06-06 08:00:00,,Open,MGR004
INC013,USR005,Pedestrian Incident,Akwa Street,4.0512,9.7015,Pedestrian hit near Akwa Street,Critical,2025-06-06 07:50:00,,In Progress,MGR005
INC014,USR006,Flooding,Melen Roundabout,3.8654,11.5167,Flooding reported at Melen Roundabout,High,2025-06-06 08:30:00,,Open,MGR006
