alert_id,alert_type,title,message,severity,target_audience,created_at,expires_at,is_active,created_by_id
ALT001,Traffic,Accident on Molyko Roundabout,Two vehicles collided at Molyko Roundabout causing delays,High,All,2025-06-06 07:20:00,2025-06-06 12:00:00,False,MGR001
ALT002,Weather,Heavy Rain Expected,"Heavy rainfall predicted in Buea area, potential flooding",Medium,Commuters,2025-06-06 06:30:00,2025-06-06 18:00:00,False,MGR002
ALT003,Roadwork,Road Construction on Akwa Street,Lane closures expected on Akwa Street for construction,Low,Drivers,2025-06-06 06:45:00,2025-06-06 17:00:00,False,MGR003
ALT004,Event,Student Protest at University Gate,Expect traffic delays due to student protest,High,All,2025-06-06 07:50:00,2025-06-06 10:30:00,False,MGR004
ALT005,Maintenance,Camera Maintenance Scheduled,CAM013 will undergo maintenance tomorrow,Low,Managers,2025-06-05 16:00:00,2025-06-06 16:00:00,False,MGR005
ALT006,Traffic,Fallen Tree on Akwa Street,"Tree blocking one lane, crews en route",Medium,All,2025-06-06 07:25:00,2025-06-06 09:15:00,False,MGR006
ALT007,System,System Update Tonight,Traffic monitoring system will be offline 2am-4am,Low,Operators,2025-06-06 12:00:00,2025-06-07 04:00:00,True,MGR007
ALT008,Weather,Fog Advisory,Dense fog expected in Yaounde area this morning,Medium,Drivers,2025-06-06 05:30:00,2025-06-06 10:00:00,False,MGR001
ALT009,Traffic,Broken Down Bus on Nlongkak,Large bus blocking traffic at Nlongkak Junction,High,All,2025-06-06 07:30:00,2025-06-06 09:00:00,False,MGR002
ALT010,Safety,Pedestrian Incident Reported,"Pedestrian hit near Bonaberi Bridge, avoid area",Critical,All,2025-06-06 07:40:00,2025-06-06 10:30:00,False,MGR003
ALT011,Traffic,Traffic Light Failure,Mile 17 traffic lights not functioning,High,All,2025-06-06 07:35:00,2025-06-06 09:30:00,False,MGR004
ALT012,Weather,Flooding Reported,Heavy rain causing flooding at Melen Roundabout,High,All,2025-06-06 07:45:00,2025-06-06 12:00:00,False,MGR005
ALT013,Event,Sports Event at Omnisport,Increased traffic expected near stadium,Medium,Commuters,2025-06-06 08:00:00,2025-06-06 22:00:00,True,MGR006
ALT014,Maintenance,Camera Back Online,CAM008 now operational after maintenance,Low,Managers,2025-06-06 09:15:00,2025-06-06 12:00:00,False,MGR007
ALT015,Traffic,Congestion on Bonaberi Bridge,Heavy traffic on bridge due to accident,High,All,2025-06-06 08:10:00,2025-06-06 10:00:00,False,MGR001
ALT016,Roadwork,Paving Work on Small Soppo,Expect delays on Small Soppo road,Medium,Drivers,2025-06-06 06:00:00,2025-06-06 15:00:00,True,MGR002
ALT017,System,Database Maintenance,System performance may be affected,Low,Operators,2025-06-06 13:00:00,2025-06-06 15:00:00,True,MGR003
ALT018,Weather,Clear Weather Expected,Good visibility and dry roads today,Low,All,2025-06-06 06:00:00,2025-06-06 18:00:00,False,MGR004
ALT019,Traffic,Rush Hour Congestion,Expected heavy traffic during evening commute,Medium,Commuters,2025-06-06 15:00:00,2025-06-06 19:00:00,True,MGR005
ALT020,Safety,New Speed Cameras Installed,Speed cameras active on Buea-Mile 17 road,Low,Drivers,2025-06-05 12:00:00,2025-06-12 12:00:00,True,MGR006
ALT021,Traffic,Vehicle Fire on Deido Junction,Avoid area due to vehicle fire,Critical,All,2025-06-06 08:30:00,2025-06-06 10:30:00,False,MGR007
ALT022,Event,Market Day in Deido,Increased pedestrian traffic expected,Low,Drivers,2025-06-06 07:00:00,2025-06-06 18:00:00,True,MGR001
ALT023,Maintenance,Scheduled Camera Maintenance,CAM023 will be offline tomorrow for maintenance,Low,Managers,2025-06-06 10:00:00,2025-06-07 10:00:00,True,MGR002
ALT024,Traffic,Overturned Truck on Tsinga Road,"Major delays expected, seek alternate route",High,All,2025-06-06 09:15:00,2025-06-06 12:00:00,False,MGR003
ALT025,Weather,Heat Advisory,"Extreme heat expected, stay hydrated",Medium,All,2025-06-06 09:00:00,2025-06-06 17:00:00,True,MGR004
ALT026,System,Mobile App Update Available,New features and bug fixes,Low,Commuters,2025-06-06 08:00:00,2025-06-13 08:00:00,True,MGR005
ALT027,Traffic,Road Closure for Repairs,Bokwoango Road closed for emergency repairs,High,All,2025-06-06 07:15:00,2025-06-06 16:00:00,True,MGR006
ALT028,Safety,Pedestrian Crossing Upgrade,New crossing lights being installed,Low,Commuters,2025-06-06 06:30:00,2025-06-08 18:00:00,True,MGR007
ALT029,Event,Presidential Visit,Road closures expected in city center,High,All,2025-06-06 10:00:00,2025-06-06 15:00:00,True,MGR001
ALT030,Traffic,Fuel Spill on Malingo Street,"Cleanup underway, avoid area",Medium,All,2025-06-06 08:45:00,2025-06-06 11:30:00,False,MGR002
ALT031,Weather,Thunderstorm Warning,Severe thunderstorms expected this afternoon,High,All,2025-06-06 11:00:00,2025-06-06 17:00:00,True,MGR003
ALT032,Maintenance,System Backup in Progress,Temporary slowdowns possible,Low,Operators,2025-06-06 02:00:00,2025-06-06 04:00:00,False,MGR004
ALT033,Traffic,New Traffic Pattern,Changed traffic flow at Rond Point Deido,Medium,Drivers,2025-06-05 12:00:00,2025-06-12 12:00:00,True,MGR005
ALT034,Event,Cultural Festival,Increased traffic near Omnisport Stadium,Medium,All,2025-06-06 09:00:00,2025-06-06 22:00:00,True,MGR006
ALT035,Safety,Pothole Reported,Large pothole on Great Soppo road,Low,Commuters,2025-06-06 07:30:00,2025-06-09 18:00:00,True,MGR007
ALT036,Traffic,Disabled Vehicle on Bridge,Vehicle blocking right lane on Bonaberi Bridge,Medium,All,2025-06-06 09:30:00,2025-06-06 10:30:00,False,MGR001
ALT037,System,New Features Released,Check out new traffic prediction features,Low,Commuters,2025-06-06 08:00:00,2025-06-13 08:00:00,True,MGR002
ALT038,Weather,Wind Advisory,Strong winds may affect high-profile vehicles,Medium,Drivers,2025-06-06 10:00:00,2025-06-06 18:00:00,True,MGR003
ALT039,Maintenance,Server Upgrade Complete,System performance improved,Low,Operators,2025-06-06 06:00:00,2025-06-06 12:00:00,False,MGR004
ALT040,Traffic,Parade Route,Road closures for Independence Day parade,High,All,2025-06-06 07:00:00,2025-06-06 14:00:00,True,MGR005
ALT041,Safety,School Zone Active,Reduced speed limits in effect,Low,Drivers,2025-06-06 07:00:00,2025-06-06 16:00:00,True,MGR006
ALT042,Event,Marathon This Weekend,Road closures planned for Sunday,Medium,All,2025-06-06 08:00:00,2025-06-09 18:00:00,True,MGR007
ALT043,Traffic,New Roundabout Open,Molyko-Mile 17 roundabout now operational,Low,All,2025-06-06 09:00:00,2025-06-13 09:00:00,True,MGR001
ALT044,Weather,Haze Advisory,Reduced visibility due to harmattan,Medium,Drivers,2025-06-06 06:00:00,2025-06-06 12:00:00,False,MGR002
ALT045,System,Scheduled Maintenance,App will be unavailable tonight,Low,Commuters,2025-06-06 12:00:00,2025-06-07 02:00:00,True,MGR003
ALT046,Traffic,Construction Complete,All lanes open on Akwa Street,Low,All,2025-06-06 15:00:00,2025-06-07 15:00:00,False,MGR004
ALT047,Safety,New Traffic Signs Installed,Updated signage on University Road,Low,Drivers,2025-06-06 08:00:00,2025-06-13 08:00:00,True,MGR005
ALT048,Event,Concert Traffic,Expect delays near Japoma Stadium,Medium,All,2025-06-06 17:00:00,2025-06-06 23:00:00,True,MGR006
ALT049,Maintenance,Camera Calibration,CAM047 undergoing calibration,Low,Managers,2025-06-06 10:30:00,2025-06-06 12:30:00,False,MGR007
ALT050,Traffic,Normal Traffic Flow Resumed,All incidents cleared on major routes,Low,All,2025-06-06 11:00:00,2025-06-06 13:00:00,False,MGR001
ALERT_A7D38D8D97,Maintenance,Alert Title 0,This is a random alert message for alert 0.,Low,Officials,2025-05-09 16:02:00.617756,2025-07-03 16:02:00.618299,False,MGR002
ALERT_5D3A8D18A2,Emergency,Alert Title 1,This is a random alert message for alert 1.,Low,Public,2024-11-12 16:02:00.617908,2025-06-25 16:02:00.618304,False,MGR003
ALERT_E070D461B5,Maintenance,Alert Title 2,This is a random alert message for alert 2.,Low,Officials,2025-01-22 16:02:00.617923,2025-06-14 16:02:00.618309,False,MGR004
ALERT_F16AE93A08,Maintenance,Alert Title 3,This is a random alert message for alert 3.,Medium,Drivers,2024-08-02 16:02:00.617930,2025-06-25 16:02:00.618312,False,MGR005
ALERT_826E8CB29E,Weather,Alert Title 4,This is a random alert message for alert 4.,Medium,Public,2024-07-03 16:02:00.617935,2025-07-03 16:02:00.618316,False,MGR006
ALERT_625C68495C,Traffic,Alert Title 5,This is a random alert message for alert 5.,Low,Drivers,2025-05-20 16:02:00.617940,2025-06-27 16:02:00.618321,False,MGR007
ALERT_946153D990,Event,Alert Title 6,This is a random alert message for alert 6.,High,Officials,2025-05-10 16:02:00.617944,2025-07-05 16:02:00.618325,False,MGR001
ALERT_4C1178E197,Traffic,Alert Title 7,This is a random alert message for alert 7.,Low,Drivers,2024-06-20 16:02:00.617947,2025-07-02 16:02:00.618329,True,MGR002
ALERT_C0E6752C40,Weather,Alert Title 8,This is a random alert message for alert 8.,Low,Officials,2025-06-06 16:02:00.617951,2025-06-13 16:02:00.618332,True,MGR003
