route_id,route_name,start_location,end_location,waypoints,distance_km,estimated_time_minutes,created_at,is_active
RT001,Buea - Molyko Ring Road,Molyko Roundabout,University of Buea,Buea Junction,5.2,25,2023-05-19 09:52:07,True
RT002,Douala - Akwa Downtown Loop,Akwa Street,Deido Market,Rond Point Deido,8.5,40,2024-08-28 18:40:28,True
RT003,Yaounde - Central to North,Nlongkak Junction,Melen Roundabout,Warda Junction,7.0,35,2023-05-31 10:05:00,True
RT004,Buea - Mile 17 to UB,Mile 17 Motor Park,University Gate,Great Soppo,6.8,30,2023-02-20 03:06:36,True
RT005,Douala - Bonaberi Industrial Route,Bonaberi Bridge Exit,Bassa Industrial Zone,Logbaba,12.0,55,2024-01-24 19:21:03,True
RT006,Yaounde - Omnisport Access,Omnisport Stadium,Essos,Mfandena,6.0,28,2024-03-22 16:52:31,True
RT007,Buea - Bokwoango Commuter,Bokwoango,Bakweri Town,Clerks Quarters,4.0,20,2023-03-25 03:16:30,True
RT008,Douala - Cité des Palmiers Link,Cité des Palmiers,Japoma Stadium Road,PK10,15.0,65,2023-04-22 04:08:12,True
RT009,Yaounde - South Eastern Connector,Kondengui,Nkoabang,Biteng,10.5,50,2023-04-17 15:53:53,True
RT010,Buea - Wokoko Circular,Wokoko,Bomaka,Bonduma,7.5,35,2023-10-30 15:43:34,True
RT011,Douala - Bepanda Main Artery,Bepanda Omni sport,Ndokoti Roundabout,Carrefour Kotto,9.0,40,2025-04-25 22:06:16,False
RT012,Yaounde - Mendong Residential Flow,Mendong,Obili,Nkolbisson,8.0,38,2023-03-17 01:43:04,True
RT013,Buea - Ekona Route,Ekona,Likomba,Tole,11.0,45,2024-11-11 13:48:29,False
RT014,Douala - Yassa Gateway,Yassa,Dibamba Bridge,Grand Mall Area,14.0,60,2023-02-13 17:24:38,True
RT015,Yaounde - Ekounou to Etoudi,Ekounou,Etoudi,Etoa,7.2,33,2024-01-07 07:32:26,True
RT016,Buea - Regional Hospital Access,Regional Hospital,Molyko Market,Checkpoint,3.5,18,2024-06-17 08:56:04,True
RT017,Douala - Port to Central Market,Port Entrance,Marché Central,Marché Sandaga,5.8,27,2024-12-03 00:13:52,True
